1000 3000 
39 482 6168 
373 333 7265 
488 820 6002 
808 33 7948 
417 391 5536 
300 257 6199 
446 77 9115 
770 557 3286 
487 725 5306 
467 749 1284 
296 787 6766 
463 512 9450 
727 999 9621 
80 158 653 
380 926 8396 
915 226 6004 
465 671 5081 
932 792 2637 
569 631 8361 
875 97 2461 
158 744 248 
275 207 5111 
77 285 2461 
697 717 2618 
702 96 896 
449 362 2473 
452 826 8495 
532 109 4638 
520 678 3268 
233 904 1716 
693 413 8460 
292 688 6018 
402 116 1654 
862 812 1370 
832 865 9465 
79 313 7826 
551 765 9004 
45 648 8464 
682 520 9493 
302 752 7396 
17 796 9809 
828 88 9848 
845 841 6963 
851 703 7126 
220 886 7343 
37 964 9655 
862 866 2771 
217 910 1771 
33 943 9290 
525 244 6393 
921 613 9188 
81 440 4275 
928 637 9468 
242 487 8170 
719 706 8407 
413 742 4722 
420 956 9587 
190 524 1496 
312 556 7790 
953 433 5386 
345 705 5998 
885 785 789 
159 64 9425 
978 657 9911 
147 727 9969 
905 140 9062 
626 559 1369 
212 100 5893 
59 412 3800 
201 364 8232 
586 61 9288 
583 945 4072 
371 455 1487 
148 433 2143 
410 931 5870 
378 188 6361 
792 813 6919 
160 377 3018 
404 787 2781 
556 987 5497 
787 924 7557 
427 858 853 
498 581 3307 
985 728 7091 
479 137 4022 
700 867 5209 
60 658 5373 
978 817 7749 
348 221 2888 
128 776 2226 
976 914 1150 
532 340 2007 
384 190 5587 
43 526 1314 
133 4 1803 
506 56 669 
66 115 3326 
439 445 1142 
539 792 2714 
426 271 1841 
4 247 3107 
153 130 9446 
511 866 3987 
98 908 5512 
763 392 8868 
565 250 9923 
585 315 1389 
910 753 3833 
404 644 6624 
117 421 5247 
310 424 2493 
416 576 8622 
213 87 4487 
200 536 9746 
63 298 1490 
282 215 3739 
556 799 8053 
945 61 6158 
777 464 5801 
753 932 6221 
999 241 9645 
491 8 3572 
464 221 10 
303 772 4545 
48 186 1195 
537 468 1761 
275 23 6911 
680 967 9971 
837 96 4786 
637 848 7718 
209 846 3310 
853 336 8318 
777 151 4890 
786 453 661 
683 501 3846 
229 389 9665 
989 16 8040 
251 695 4006 
222 883 453 
359 871 1300 
76 79 8145 
386 284 9832 
55 412 4983 
944 197 787 
956 231 639 
153 459 6028 
818 799 3395 
857 402 8089 
214 623 5323 
667 981 8193 
318 409 5623 
463 146 906 
646 552 317 
980 495 3866 
767 802 2448 
405 954 7259 
784 771 57 
178 979 6810 
618 545 8432 
940 563 8765 
484 880 5525 
107 694 2022 
364 692 6573 
681 671 4067 
898 789 7868 
345 546 8173 
603 329 1944 
12 859 6274 
821 476 5170 
605 768 2732 
721 251 2964 
597 357 4009 
618 721 5700 
190 753 5723 
256 2 4863 
475 346 3760 
647 301 2089 
942 664 2299 
568 484 9774 
737 440 8893 
821 160 5144 
136 108 6852 
144 725 8572 
196 914 9676 
270 521 7677 
484 995 5023 
244 994 1675 
684 287 1338 
982 854 7173 
107 943 7613 
1000 763 4124 
143 898 2232 
994 393 3956 
918 588 5870 
593 209 8390 
270 693 5737 
644 936 6082 
670 619 1368 
7 600 574 
179 58 2516 
143 57 2630 
267 199 7527 
850 545 271 
805 462 3859 
26 406 9419 
768 27 9111 
856 670 3046 
289 691 6016 
656 697 3967 
581 228 3025 
448 370 8433 
77 988 2632 
955 837 1528 
226 994 7341 
436 19 9746 
854 138 2773 
317 993 7794 
714 281 6485 
730 289 6533 
48 869 8760 
72 317 3482 
505 745 8469 
488 700 2306 
367 925 5299 
707 712 3317 
804 565 3807 
928 233 9799 
74 947 6432 
910 676 5072 
442 723 6292 
554 147 8960 
35 3 5705 
503 842 6756 
808 208 9680 
458 266 3743 
127 69 5659 
933 349 892 
83 422 8838 
866 331 5513 
937 124 7587 
229 677 8085 
540 63 5439 
244 566 2280 
999 725 2839 
30 183 4456 
772 309 525 
431 241 9225 
674 323 5646 
511 189 5328 
375 477 8451 
313 705 6480 
398 245 6542 
836 840 7107 
468 191 6832 
306 220 7366 
762 344 5674 
638 126 8266 
214 799 8588 
859 309 2128 
186 35 7605 
988 347 7661 
467 744 1257 
9 932 449 
467 751 5639 
650 408 9210 
15 521 8553 
688 158 2030 
953 723 7828 
893 581 7488 
372 118 2874 
328 458 5221 
341 924 5316 
949 284 8599 
397 751 7349 
387 752 757 
597 767 3277 
501 806 1787 
531 759 5509 
710 3 6442 
550 374 3559 
423 54 4368 
995 394 6292 
311 342 4927 
909 91 1029 
610 477 7781 
366 425 2547 
642 926 7352 
428 808 462 
289 517 464 
730 418 2190 
640 193 3243 
8 187 3988 
651 849 9329 
577 110 2419 
606 719 5248 
386 436 672 
284 77 3597 
987 857 2404 
449 497 1273 
264 226 4042 
805 865 7234 
399 872 2421 
386 522 7621 
67 451 8730 
837 56 5800 
84 793 3235 
756 428 664 
704 414 9872 
460 214 6368 
84 830 6593 
125 634 6809 
711 33 5033 
483 418 3906 
103 484 8356 
185 321 5763 
984 756 3907 
571 863 5334 
586 919 100 
457 730 2313 
824 813 5142 
768 289 776 
576 999 5160 
960 481 5929 
866 936 8765 
573 120 2437 
688 455 2192 
594 377 5055 
928 962 7325 
27 418 5054 
691 593 2218 
833 360 6506 
960 288 7857 
471 247 8689 
399 464 6624 
163 37 6743 
599 724 7550 
143 669 5926 
549 596 5240 
873 974 2657 
278 17 7250 
495 201 1961 
352 160 7248 
208 982 847 
897 380 310 
520 895 6698 
615 845 5773 
516 339 1442 
441 887 9037 
680 111 1363 
689 388 731 
290 882 5931 
250 586 442 
850 793 9423 
48 41 5154 
357 561 48 
407 527 9245 
179 42 8583 
620 834 5822 
9 866 1932 
723 554 8320 
453 843 3553 
383 444 4138 
824 645 4283 
598 692 6323 
751 401 3235 
151 807 1761 
395 985 5802 
329 605 3988 
150 965 8853 
82 687 9406 
753 139 5600 
657 521 9395 
147 696 8040 
429 293 5083 
751 395 4483 
986 897 5641 
98 643 1626 
900 972 6582 
887 473 9546 
739 554 8232 
496 658 9722 
447 315 7242 
841 813 289 
232 241 1933 
667 991 7327 
149 328 5576 
790 426 3218 
767 677 5189 
700 915 3662 
245 5 567 
828 500 577 
549 946 7243 
142 138 1055 
782 722 6295 
714 388 5637 
392 536 2317 
967 677 8094 
185 795 8770 
725 846 4684 
738 442 1040 
657 269 4539 
585 169 9836 
827 662 6325 
233 443 2046 
879 156 8433 
515 900 6321 
183 866 1349 
276 402 1496 
397 479 3341 
432 216 2783 
471 224 8051 
361 808 1572 
548 986 4233 
873 218 2676 
918 96 5183 
703 963 9082 
23 145 6300 
723 773 53 
218 169 5531 
559 953 9099 
341 423 7674 
743 136 5482 
314 683 2467 
899 555 9685 
926 825 6132 
108 527 1094 
542 901 3239 
193 623 3363 
245 841 3883 
128 399 5835 
578 91 6610 
251 833 745 
84 499 4427 
903 397 334 
939 322 510 
70 781 3388 
164 674 5288 
754 866 3910 
468 463 7102 
350 590 1852 
185 519 942 
146 121 5127 
890 205 5977 
668 459 1373 
353 397 3046 
862 818 6178 
249 333 9852 
888 438 3069 
150 905 9531 
251 255 7472 
455 791 5990 
748 936 9111 
874 177 8667 
850 196 3477 
574 549 6873 
971 762 4042 
501 11 3375 
704 250 7164 
772 399 6069 
303 2 6675 
774 456 4817 
116 203 7104 
226 429 632 
244 630 9827 
720 556 1375 
944 878 2137 
985 378 5499 
711 81 6748 
227 853 2499 
647 507 3500 
673 632 7955 
489 747 9509 
944 324 6937 
575 567 8919 
753 638 474 
128 581 7351 
616 918 2081 
466 980 4513 
565 206 7717 
63 852 1223 
562 524 8855 
868 364 2953 
377 307 6277 
665 233 195 
583 986 1833 
408 465 4413 
111 432 4682 
191 249 9662 
55 813 9219 
772 228 3071 
346 141 6946 
552 9 5662 
505 385 6320 
781 401 9553 
327 984 7890 
159 743 2706 
924 853 2489 
605 395 2737 
618 450 2901 
837 221 9128 
259 918 1269 
556 470 3629 
217 974 3013 
537 106 1765 
441 432 9748 
682 591 6491 
387 866 5695 
875 470 3090 
963 88 9539 
863 924 9111 
343 534 3028 
963 89 6497 
591 306 8822 
955 194 6279 
719 634 2711 
819 315 2653 
661 53 518 
355 927 987 
444 889 6426 
334 103 9701 
444 445 234 
824 759 7675 
672 349 1332 
494 655 7525 
772 726 2158 
834 544 5824 
486 204 4876 
355 910 8154 
694 354 8394 
119 687 4848 
172 483 6645 
757 658 1403 
431 329 9104 
762 174 2758 
638 298 6835 
147 131 8378 
970 969 2933 
197 323 9843 
702 368 2196 
447 839 2234 
295 10 9068 
939 118 5725 
341 549 1406 
796 662 8579 
906 300 9876 
740 446 4359 
118 768 4679 
402 316 5001 
244 18 1721 
791 464 8559 
377 758 7920 
444 48 37 
521 741 8937 
926 536 9599 
504 441 2250 
732 181 2695 
90 650 5814 
768 403 130 
120 647 147 
192 789 6962 
750 517 9072 
669 313 3119 
58 833 3211 
994 110 5747 
944 613 2539 
193 696 4071 
240 137 8720 
53 256 8475 
182 728 4121 
680 919 3261 
642 21 1778 
65 41 5090 
183 98 5274 
394 92 7383 
492 35 6347 
30 580 8395 
101 819 1531 
172 871 3139 
646 405 1866 
118 84 5784 
731 77 6156 
508 141 8197 
949 676 8294 
574 421 1737 
308 912 8124 
654 293 9703 
48 393 5521 
931 917 7743 
69 914 147 
286 32 5583 
421 114 1011 
577 621 9152 
773 921 2179 
66 846 599 
155 153 2862 
278 158 5154 
980 558 1547 
852 488 9815 
594 908 5728 
93 193 6111 
27 613 4224 
37 189 8196 
540 313 9468 
718 731 3313 
668 885 9817 
529 162 8975 
683 493 5532 
581 344 7371 
747 937 1278 
474 381 5470 
937 407 8434 
160 796 3623 
708 687 1935 
175 405 1665 
840 424 901 
656 953 5062 
982 987 6554 
513 567 7249 
883 313 2186 
160 138 6918 
981 426 677 
415 586 4472 
389 645 158 
675 819 9914 
692 10 4338 
592 18 2642 
6 999 9980 
559 512 7898 
808 746 2562 
345 906 9699 
614 238 8125 
290 652 2062 
761 392 9706 
271 67 6876 
184 110 3238 
873 701 2255 
866 706 9253 
845 617 6116 
742 776 3862 
303 120 119 
354 733 356 
478 23 9360 
891 135 751 
948 405 9169 
175 941 6278 
412 165 9331 
666 31 7036 
271 875 8652 
386 969 1427 
247 271 3898 
365 624 2983 
73 453 9357 
432 695 7491 
534 642 248 
55 817 1188 
684 580 3704 
14 246 7734 
50 868 5961 
53 253 9929 
832 852 8551 
81 568 1527 
63 640 3331 
419 423 6026 
262 957 2019 
509 11 8187 
48 694 7767 
103 60 9364 
837 109 2231 
149 513 8835 
77 696 6686 
979 777 2254 
505 839 2245 
188 610 9668 
565 871 7976 
583 731 6338 
122 130 7383 
240 232 442 
603 420 8902 
185 568 1415 
19 996 2110 
705 975 1238 
310 831 5429 
554 18 4038 
573 582 7260 
548 165 5342 
885 638 5823 
268 877 6054 
709 479 2826 
611 15 9393 
377 33 8389 
838 737 4715 
76 398 3545 
504 304 4563 
893 876 144 
152 424 8660 
845 308 8297 
667 575 9525 
72 636 5355 
897 598 4369 
642 974 5402 
30 163 1490 
96 238 4888 
640 93 4191 
202 337 9066 
698 488 3841 
357 332 2149 
6 350 4075 
530 422 3710 
885 318 6307 
253 959 9632 
6 340 5795 
496 435 2384 
735 427 4829 
277 980 7165 
342 677 3005 
535 386 7688 
683 391 7038 
109 272 3459 
819 508 6128 
477 761 4439 
461 766 6778 
607 613 565 
990 347 9343 
170 623 1322 
687 317 2999 
691 851 9384 
730 885 5126 
767 993 9749 
577 163 2257 
705 992 7017 
143 452 2134 
272 58 9099 
188 399 6445 
530 921 7420 
204 607 1088 
202 297 1290 
937 26 174 
414 145 4518 
162 721 1681 
418 777 7024 
786 271 7475 
272 895 7884 
370 434 634 
166 316 554 
937 519 1160 
24 72 1808 
313 360 186 
838 773 9682 
356 286 7402 
388 704 8531 
411 841 4801 
237 464 5695 
472 185 8129 
105 703 1444 
11 639 3314 
522 15 385 
330 327 4744 
867 165 7868 
548 872 3153 
301 259 9208 
831 21 3049 
632 257 5864 
678 728 4049 
158 184 6751 
953 194 7741 
266 716 1755 
2 397 6434 
745 263 1950 
612 810 2821 
765 110 3431 
324 293 4451 
372 276 9707 
588 953 9786 
636 463 8969 
738 767 4163 
478 33 2878 
585 34 9626 
18 131 1888 
967 94 2049 
139 858 7510 
569 182 6802 
19 905 1077 
77 844 2382 
862 831 8844 
830 568 962 
344 398 2994 
573 982 4380 
198 351 9862 
437 669 955 
485 807 7165 
995 727 7698 
796 745 5602 
225 173 5798 
606 34 9628 
801 215 196 
762 559 7945 
108 483 8278 
839 681 7628 
700 469 648 
654 954 7454 
818 948 4180 
515 95 5276 
469 671 448 
266 276 5833 
245 428 4047 
792 542 1957 
736 649 8792 
365 839 7824 
344 538 7292 
991 191 9245 
796 361 7544 
975 227 8991 
602 695 4661 
401 312 3289 
233 557 68 
632 348 9609 
940 436 7609 
731 800 8447 
906 144 1984 
198 134 5527 
794 930 6239 
338 256 5465 
680 210 1512 
340 610 175 
980 195 4731 
48 178 4431 
656 117 866 
617 200 5017 
63 105 8160 
399 654 3646 
925 448 2575 
515 785 8182 
979 816 5743 
842 155 5705 
17 487 3899 
747 534 7076 
529 541 3544 
746 157 5743 
763 572 4200 
922 970 9853 
567 894 8300 
493 408 3436 
27 738 4251 
769 580 1758 
473 596 9244 
723 694 3129 
150 575 6669 
694 320 178 
788 82 5749 
987 4 1718 
192 922 9963 
843 767 6722 
279 145 3811 
881 913 2742 
990 738 7337 
233 812 1383 
713 962 2957 
734 7 9276 
911 794 1710 
11 133 2065 
80 324 3986 
394 166 9104 
467 796 9248 
277 677 6513 
19 666 250 
707 251 3413 
441 315 374 
397 48 7380 
25 310 6526 
734 320 5658 
798 751 7333 
135 144 9850 
239 610 6646 
838 239 4674 
350 257 5691 
951 315 5293 
364 756 6608 
737 152 9007 
469 528 6317 
994 613 636 
651 762 6387 
335 897 9882 
184 487 1492 
181 324 7730 
206 674 1338 
249 624 9652 
893 339 407 
852 76 2911 
859 544 6438 
175 537 5403 
162 539 9164 
900 873 8060 
782 408 3898 
625 589 3222 
706 146 5247 
43 394 222 
46 287 1561 
453 138 5988 
715 996 883 
504 522 6419 
906 684 7309 
70 583 8181 
481 716 1588 
379 692 528 
952 397 9674 
550 791 1067 
771 837 2705 
683 641 1195 
670 355 9190 
552 210 2064 
322 116 7747 
630 537 1681 
162 17 3749 
102 747 5440 
981 698 837 
654 247 7627 
73 370 1815 
129 52 7455 
323 74 161 
513 625 2723 
576 299 7838 
674 280 3726 
706 442 2094 
454 895 6841 
894 875 3890 
82 881 8489 
60 953 858 
875 81 5261 
681 404 1334 
194 268 6311 
916 195 2961 
753 220 2240 
830 925 8681 
923 731 6575 
763 624 2802 
5 57 682 
493 116 3986 
350 342 9066 
962 23 9821 
648 216 5440 
958 131 7986 
918 235 5205 
509 416 1482 
190 338 4212 
116 453 5187 
917 457 5243 
950 949 4710 
935 650 5404 
353 611 8426 
173 610 2993 
965 919 5475 
302 836 61 
859 697 476 
340 886 8813 
903 353 8265 
441 622 9073 
35 571 7021 
744 506 2022 
147 210 2985 
924 382 7594 
268 698 8513 
742 1000 8700 
154 858 396 
629 549 8633 
794 803 9986 
58 243 9959 
483 277 6529 
503 372 6386 
877 871 8595 
861 794 9329 
454 414 378 
318 155 9729 
18 661 2586 
413 289 9486 
46 82 8288 
383 492 6882 
341 974 4158 
221 828 3882 
959 704 8752 
905 564 9897 
585 370 310 
963 687 1817 
691 704 4477 
629 469 8765 
466 866 6199 
106 248 8690 
987 940 1663 
145 512 8490 
378 470 1194 
129 375 9109 
25 959 3478 
687 273 9165 
503 964 4868 
979 944 7336 
95 409 1553 
645 514 4800 
334 501 6091 
348 997 5603 
190 374 6072 
735 854 8798 
843 878 3109 
321 916 9381 
837 418 7344 
56 748 8639 
744 195 48 
296 839 8913 
96 173 5765 
538 872 4761 
140 61 2486 
564 795 1339 
361 990 7569 
821 662 7836 
202 498 1254 
897 553 1353 
536 296 547 
935 592 1386 
847 39 8910 
612 576 1133 
724 68 194 
210 631 6340 
900 343 8681 
820 164 4342 
656 365 5191 
261 613 9744 
613 148 4391 
512 82 4334 
249 281 724 
510 892 3300 
642 615 6719 
187 176 4349 
527 428 4043 
207 599 6206 
901 606 2922 
91 866 1535 
186 831 7034 
577 342 3116 
262 590 1396 
986 99 7639 
637 92 253 
355 279 781 
55 805 4208 
449 363 7158 
655 263 4764 
928 354 4629 
814 539 811 
848 467 1152 
315 81 6093 
62 66 4543 
700 54 7635 
304 408 1913 
84 814 69 
643 262 4431 
801 268 2046 
916 548 5399 
544 361 3289 
355 208 108 
858 874 188 
951 935 605 
845 634 4658 
479 290 5417 
391 725 3582 
811 368 6843 
242 520 463 
287 435 1010 
37 330 6370 
677 36 9930 
136 246 1155 
675 196 5090 
279 392 2075 
288 871 2364 
56 613 3089 
637 424 4808 
832 665 4679 
294 303 7465 
655 691 7794 
376 719 9182 
657 855 6427 
812 881 1974 
253 512 365 
327 799 5587 
43 207 3200 
483 843 9623 
642 26 5639 
320 671 3293 
784 325 7983 
929 701 2053 
462 357 9259 
888 520 6140 
213 772 9651 
930 99 801 
516 493 5007 
715 975 2202 
689 616 9227 
327 287 2898 
971 422 4222 
305 350 2274 
358 812 631 
616 51 3150 
755 616 4922 
405 545 4372 
206 60 3864 
564 127 9190 
765 815 5157 
992 494 6443 
889 464 6864 
462 769 565 
736 126 6728 
718 93 8131 
867 200 6746 
140 604 9290 
863 161 7701 
78 77 5179 
267 841 4994 
775 832 1839 
569 72 6302 
432 886 5422 
349 621 8547 
428 338 3992 
558 556 5191 
303 48 8146 
944 910 3659 
997 988 6735 
175 606 9575 
520 381 7759 
358 949 4182 
660 733 3067 
81 433 3039 
980 860 8376 
323 418 1284 
513 72 331 
658 368 6240 
316 364 5579 
402 890 1185 
329 410 917 
439 119 1217 
620 130 8949 
39 211 3733 
77 542 9593 
453 864 7362 
88 728 7433 
418 385 8152 
9 53 867 
588 454 757 
124 134 5518 
392 572 636 
608 192 8766 
909 230 5328 
641 658 5221 
233 462 2436 
163 379 7966 
547 882 7327 
951 749 2266 
757 505 8389 
890 374 8132 
462 361 2739 
5 126 8999 
586 805 2640 
243 377 2224 
705 812 9170 
253 974 9900 
571 873 8781 
897 823 8529 
162 579 5385 
902 821 7758 
33 282 7119 
123 638 1596 
122 223 7753 
113 817 9129 
336 873 2941 
857 126 5266 
108 48 138 
889 296 4961 
769 809 891 
506 710 6063 
615 94 9696 
85 568 5333 
681 689 3907 
785 801 7724 
265 489 596 
205 697 73 
823 805 472 
960 45 2767 
272 165 1927 
515 670 9988 
577 285 5081 
273 369 9001 
605 401 1689 
864 537 4842 
587 802 682 
534 358 8378 
607 180 534 
430 140 9578 
197 763 6743 
475 277 3764 
463 854 8400 
895 478 4121 
895 82 8873 
936 297 410 
777 883 563 
810 417 5920 
539 375 8100 
73 804 3591 
2 352 7353 
96 827 2982 
860 641 187 
611 535 8664 
731 430 97 
604 365 8394 
365 493 1276 
927 654 2044 
846 192 770 
297 264 7926 
239 618 6277 
592 713 455 
925 924 4095 
111 535 4982 
774 617 9411 
870 572 8127 
263 936 5971 
891 862 3624 
286 60 5815 
56 356 9431 
981 595 400 
609 538 9112 
416 462 8388 
862 924 274 
843 697 8890 
605 918 9462 
731 181 8749 
701 423 4611 
676 708 5670 
491 763 6377 
273 743 323 
672 704 1212 
135 119 2025 
874 980 2948 
147 823 2644 
389 427 7562 
850 510 6094 
598 562 9516 
560 238 6223 
581 80 3338 
958 704 2432 
632 727 6135 
844 861 7605 
868 735 4585 
816 233 4759 
811 621 7537 
724 470 7398 
169 420 3960 
36 331 3549 
611 912 1980 
948 221 8683 
379 852 6761 
866 47 8973 
470 915 3707 
406 82 292 
164 892 4912 
53 968 9734 
450 136 3505 
761 172 835 
309 782 3746 
640 729 1318 
674 459 7522 
434 676 3568 
407 498 7834 
465 903 6915 
756 419 6159 
668 471 3126 
401 272 6613 
257 33 9784 
91 693 7917 
189 333 7997 
506 6 8808 
379 792 6483 
947 198 4980 
132 662 5235 
399 770 5653 
557 789 6475 
34 189 8746 
646 445 2778 
782 887 8471 
50 75 4155 
47 933 2160 
854 311 8303 
688 609 2500 
20 741 7514 
254 139 3635 
258 47 9423 
732 432 963 
477 429 1759 
255 562 2645 
77 612 72 
231 658 9004 
742 863 9666 
45 902 9275 
896 921 8367 
761 174 3857 
395 431 8255 
817 514 4686 
779 991 6114 
537 597 8676 
182 25 287 
253 607 5296 
608 348 2510 
273 744 4763 
899 640 684 
617 400 8209 
825 147 2992 
79 963 1505 
764 742 8847 
230 278 1443 
257 811 6819 
895 415 6425 
542 22 5125 
51 647 4868 
813 545 859 
848 514 611 
57 338 7757 
400 417 1719 
904 532 9812 
103 761 7442 
897 369 7252 
716 263 2019 
140 804 8040 
264 206 4038 
484 19 6583 
342 218 9448 
304 626 3785 
60 25 4201 
131 281 8085 
942 383 5197 
735 279 566 
987 346 828 
357 838 7632 
748 453 9837 
786 936 2207 
720 630 1777 
167 933 402 
951 345 7427 
504 475 7059 
588 768 5441 
